name,found_cps,score
Cane,[],1.0
DutchFactory,[2585.],0.045771
EEGRat,[462.],0.269
EEGRat2,[],1.0
Fetal2013,[12846. 10799.],0.113722
GrandMalSeizures,[7871.],0.017849
GrandMalSeizures2,[4602.],0.004984
GreatBarbet1,[],1.0
GreatBarbet2,[],1.0
InsectEPG1,[3314.],0.028704
InsectEPG2,[1770.],0.003
InsectEPG3,[1839.],0.018426
InsectEPG4,[2752.],0.021473
NogunGun,[],1.0
PigInternalBleedingDatasetAirwayPressure,[450.],0.470914
PigInternalBleedingDatasetArtPressureFluidFilled,[7634.],0.008883
PigInternalBleedingDatasetCVP,[7490.],0.000735
Powerdemand,[4518.],0.002343
PulsusParadoxusECG1,[],1.0
PulsusParadoxusECG2,[],1.0
PulsusParadoxusSP02,[17520.],0.429199
RoboticDogActivityX,[10994.],0.180723
RoboticDogActivityY,[12994.],0.156133
RoboticDogActivityZ,[650.],0.304545
SimpleSynthetic,[4999. 2998.],0.000375
SuddenCardiacDeath1,[],1.0
SuddenCardiacDeath2,[4044.],0.066161
SuddenCardiacDeath3,[6274.],0.251979
TiltABP,[25085.],0.002125
TiltECG,[39999.],0.374975
WalkJogRun1,[ 3557. 10000.],0.344266
WalkJogRun2,[6914. 3313.],0.060094
Adiac,[],1.0
ArrowHead,[],1.0
Beef,[1359.],0.46383
BeetleFly,[],1.0
BirdChicken,[],1.0
Car,[],1.0
CBF,[],1.0
ChlorineConcentration,[],1.0
CinCECGTorso,[],1.0
Coffee,[],1.0
Computers,[],1.0
CricketX,[],1.0
CricketY,[],1.0
CricketZ,[],1.0
DiatomSizeReduction,[],1.0
DistalPhalanxOutlineAgeGroup,[],1.0
DistalPhalanxTW,[],1.0
Earthquakes,[],1.0
ECG200,[],1.0
ECG5000,[1280.],0.001463
ECGFiveDays,[491.],0.019182
ElectricDevices,[],1.0
FaceAll,[],1.0
FaceFour,[],1.0
FacesUCR,[],1.0
FiftyWords,[],1.0
Fish,[],1.0
GunPoint,[],1.0
Haptics,[],1.0
InlineSkate,[],1.0
InsectWingbeatSound,[],1.0
ItalyPowerDemand,[],1.0
LargeKitchenAppliances,[],1.0
Lightning2,[425.],0.022613
Lightning7,[],1.0
Mallat,[],1.0
Meat,[],1.0
MedicalImages,[],1.0
MoteStrain,[],1.0
NonInvasiveFetalECGThorax1,[],1.0
NonInvasiveFetalECGThorax2,[],1.0
OliveOil,[],1.0
OSULeaf,[],1.0
Plane,[],1.0
ProximalPhalanxOutlineAgeGroup,[],1.0
ProximalPhalanxTW,[],1.0
ShapesAll,[],1.0
SonyAIBORobotSurface1,[],1.0
SonyAIBORobotSurface2,[1682.],0.550997
StarLightCurves,[ 486. 1359.],0.002188
SwedishLeaf,[],1.0
Symbols,[],1.0
SyntheticControl,[],1.0
ToeSegmentation1,[],1.0
ToeSegmentation2,[],1.0
Trace,[],1.0
TwoLeadECG,[],1.0
TwoPatterns,[],1.0
UWaveGestureLibraryAll,[],1.0
UWaveGestureLibraryX,[],1.0
UWaveGestureLibraryY,[],1.0
UWaveGestureLibraryZ,[],1.0
Wafer,[],1.0
WordSynonyms,[],1.0
Worms,[],1.0
Yoga,[],1.0
