name,score,runtime
Cane,0.220037,0.28299
DutchFactory,0.007533,0.50093
EEGRat,0.405,0.09819
EEGRat2,0.4675,0.09813
Fetal2013,0.306389,1.5048
GrandMalSeizures,0.443793,1.31606
GrandMalSeizures2,0.560721,0.64233
GreatBarbet1,0.603191,0.37714
GreatBarbet2,0.571277,0.36177
InsectEPG1,0.08576,1.10566
InsectEPG2,0.752925,0.60359
InsectEPG3,0.019283,0.38649
InsectEPG4,0.06447,1.33312
NogunGun,0.586482,0.42267
PigInternalBleedingDatasetAirwayPressure,0.477593,1.0096
PigInternalBleedingDatasetArtPressureFluidFilled,0.008949,0.95663
PigInternalBleedingDatasetCVP,0.031657,0.93147
Powerdemand,0.531763,0.43738
PulsusParadoxusECG1,0.570458,1.23443
PulsusParadoxusECG2,0.570458,1.23706
PulsusParadoxusSP02,0.569888,1.23518
RoboticDogActivityX,0.139854,0.78704
RoboticDogActivityY,0.120825,0.95036
RoboticDogActivityZ,0.348636,0.68216
SimpleSynthetic,0.010624,0.57212
SuddenCardiacDeath1,0.711667,1.13501
SuddenCardiacDeath2,0.269144,0.75996
SuddenCardiacDeath3,0.258728,0.76161
TiltABP,0.002125,3.42478
TiltECG,0.04,3.42824
WalkJogRun1,0.620438,0.60849
WalkJogRun2,0.606439,0.60878
Adiac,0.921165,0.13468
ArrowHead,0.49668,0.07274
Beef,0.48227,0.06729
BeetleFly,0.490234,0.12829
BirdChicken,0.496094,0.12772
Car,0.832178,0.2123
CBF,0.7375,0.06685
ChlorineConcentration,0.302525,0.44863
CinCECGTorso,0.537453,0.60683
Coffee,0.495,0.04695
Computers,0.495111,0.70125
CricketX,0.874191,0.39073
CricketY,0.853611,0.39
CricketZ,0.826279,0.3375
DiatomSizeReduction,0.772622,0.09199
DistalPhalanxOutlineAgeGroup,0.206294,0.06823
DistalPhalanxTW,0.437984,0.19217
Earthquakes,0.812112,0.62871
ECG200,0.68375,0.11864
ECG5000,0.374451,0.09992
ECGFiveDays,0.152174,0.03572
ElectricDevices,1.245057,1.45123
FaceAll,0.830971,1.63594
FaceFour,0.745833,0.98672
FacesUCR,0.81814,1.27167
FiftyWords,0.992109,0.5669
Fish,0.90162,2.16599
GunPoint,0.517333,0.09197
Haptics,0.404908,0.48662
InlineSkate,0.861232,0.26142
InsectWingbeatSound,0.726562,0.092
ItalyPowerDemand,0.490672,0.0782
LargeKitchenAppliances,0.659317,0.74871
Lightning2,0.329146,0.05721
Lightning7,0.673497,0.90709
Mallat,1.029486,0.31294
Meat,0.657738,0.25944
MedicalImages,0.696039,0.12389
MoteStrain,0.491071,0.08147
NonInvasiveFetalECGThorax1,0.728663,1.99702
NonInvasiveFetalECGThorax2,0.703764,2.80578
OliveOil,0.95614,0.63273
OSULeaf,0.326923,0.10326
Plane,1.051587,0.58836
ProximalPhalanxOutlineAgeGroup,0.94125,0.31456
ProximalPhalanxTW,0.225,0.41894
ShapesAll,0.697656,0.87896
SonyAIBORobotSurface1,0.296429,0.06686
SonyAIBORobotSurface2,0.393162,0.08502
StarLightCurves,0.283526,0.24458
SwedishLeaf,0.62477,0.34577
Symbols,0.677078,0.18274
SyntheticControl,0.78,0.48622
ToeSegmentation1,0.498195,0.13959
ToeSegmentation2,0.489955,0.15793
Trace,0.817932,0.42545
TwoLeadECG,0.464968,0.02224
TwoPatterns,0.721625,0.72318
UWaveGestureLibraryAll,0.787209,1.25646
UWaveGestureLibraryX,0.87225,0.21443
UWaveGestureLibraryY,0.685947,0.28335
UWaveGestureLibraryZ,0.801278,0.28376
Wafer,0.084246,0.05622
WordSynonyms,0.156159,0.17852
Worms,0.661812,0.08788
Yoga,0.542444,1.09824
