name,score,runtime
Cane,0.400187,6.86981
DutchFactory,0.357493,15.45359
EEGRat,0.079,1.58201
EEGRat2,0.357,1.58291
Fetal2013,0.348,55.68585
GrandMalSeizures,0.421061,58.90652
GrandMalSeizures2,0.024729,21.44227
GreatBarbet1,0.279149,5.60269
GreatBarbet2,0.197872,5.6036
InsectEPG1,0.211752,50.55895
InsectEPG2,0.160384,19.60841
InsectEPG3,0.216255,10.69246
InsectEPG4,0.155676,61.88742
NogunGun,0.356224,11.73122
PigInternalBleedingDatasetAirwayPressure,0.204835,40.30435
PigInternalBleedingDatasetArtPressureFluidFilled,0.011554,40.78121
PigInternalBleedingDatasetCVP,0.046484,40.29925
Powerdemand,0.580448,12.65886
PulsusParadoxusECG1,0.379202,54.12841
PulsusParadoxusECG2,0.320016,54.66736
PulsusParadoxusSP02,0.417956,56.01488
RoboticDogActivityX,0.64761,29.86807
RoboticDogActivityY,0.696102,38.80944
RoboticDogActivityZ,0.229273,23.17259
SimpleSynthetic,0.382952,13.44111
SuddenCardiacDeath1,0.446167,27.10409
SuddenCardiacDeath2,0.052746,26.58844
SuddenCardiacDeath3,0.112741,26.5249
TiltABP,0.063825,234.94849
TiltECG,0.2252,235.23263
WalkJogRun1,0.713229,19.76181
WalkJogRun2,0.006799,20.15712
Adiac,0.065341,0.98407
ArrowHead,0.460159,1.07507
Beef,0.110638,0.98451
BeetleFly,0.392578,2.23956
BirdChicken,0.324219,2.24148
Car,0.033287,1.7625
CBF,0.421875,0.60156
ChlorineConcentration,0.249327,12.7572
CinCECGTorso,0.533547,11.17766
Coffee,0.307,0.63281
Computers,0.3608,24.07192
CricketX,0.082147,2.94902
CricketY,0.300586,2.92289
CricketZ,0.2477,2.44066
DiatomSizeReduction,0.324826,0.8807
DistalPhalanxOutlineAgeGroup,1.0,1.00167
DistalPhalanxTW,0.272093,2.26746
Earthquakes,0.796487,20.61899
ECG200,0.045417,2.0425
ECG5000,0.366163,1.63148
ECGFiveDays,0.223785,0.46953
ElectricDevices,0.772286,25.52855
FaceAll,0.199237,16.84587
FaceFour,0.3675,14.53404
FacesUCR,0.098874,10.12292
FiftyWords,0.790608,6.55573
Fish,0.738147,20.02659
GunPoint,0.135467,1.44815
Haptics,0.159168,7.97822
InlineSkate,0.367973,5.83256
InsectWingbeatSound,0.111719,0.86553
ItalyPowerDemand,0.044154,1.17293
LargeKitchenAppliances,0.349218,14.57347
Lightning2,0.030988,0.79418
Lightning7,0.314574,9.57876
Mallat,0.283014,4.3013
Meat,0.272024,3.34034
MedicalImages,0.240097,2.12915
MoteStrain,0.458929,1.24518
NonInvasiveFetalECGThorax1,0.635507,28.68887
NonInvasiveFetalECGThorax2,0.634437,36.04196
OliveOil,0.401619,11.91435
OSULeaf,0.174038,1.66821
Plane,0.028042,3.99112
ProximalPhalanxOutlineAgeGroup,0.941,4.35231
ProximalPhalanxTW,0.04775,4.34749
ShapesAll,0.360781,9.26388
SonyAIBORobotSurface1,0.070714,0.97707
SonyAIBORobotSurface2,0.111681,1.32043
StarLightCurves,0.077212,3.09724
SwedishLeaf,0.184972,4.96052
Symbols,0.146109,1.46138
SyntheticControl,0.124533,3.94139
ToeSegmentation1,0.189531,2.5114
ToeSegmentation2,0.462411,2.94144
Trace,0.272906,6.33768
TwoLeadECG,0.339703,0.25614
TwoPatterns,0.47275,13.31503
UWaveGestureLibraryAll,0.131339,14.66752
UWaveGestureLibraryX,0.363378,2.57016
UWaveGestureLibraryY,0.250887,2.57075
UWaveGestureLibraryZ,0.290277,2.57029
Wafer,0.091828,0.7839
WordSynonyms,0.162839,2.03537
Worms,0.147249,0.82922
Yoga,0.444723,45.09655
