name,score,runtime
Cane,0.001124,11.14099
DutchFactory,0.002055,4.69769
EEGRat,0.0015,0.52536
EEGRat2,0.0915,0.52456
Fetal2013,0.001889,26.96386
GrandMalSeizures,0.000922,18.60733
GrandMalSeizures2,0.000767,6.71863
GreatBarbet1,0.008936,3.01585
GreatBarbet2,0.008723,3.12126
InsectEPG1,0.001647,15.57486
InsectEPG2,0.009799,5.8367
InsectEPG3,0.008856,3.2168
InsectEPG4,0.009421,18.78413
NogunGun,0.004741,3.26919
PigInternalBleedingDatasetAirwayPressure,0.053897,10.57474
PigInternalBleedingDatasetArtPressureFluidFilled,0.003874,11.26754
PigInternalBleedingDatasetCVP,0.004742,11.26915
Powerdemand,0.000911,3.80856
PulsusParadoxusECG1,0.0,16.22045
PulsusParadoxusECG2,0.000228,16.09127
PulsusParadoxusSP02,0.001084,16.30013
RoboticDogActivityX,0.002362,9.17157
RoboticDogActivityY,0.002041,11.8685
RoboticDogActivityZ,0.000273,6.80006
SimpleSynthetic,0.014373,6.40711
SuddenCardiacDeath1,0.027,13.3747
SuddenCardiacDeath2,0.001333,8.1883
SuddenCardiacDeath3,0.001417,8.27976
TiltABP,0.002325,71.37528
TiltECG,0.0039,72.3318
WalkJogRun1,0.038996,9.53039
WalkJogRun2,0.016198,9.61157
Adiac,0.009233,0.78533
ArrowHead,0.001992,0.3607
Beef,0.013475,0.31808
BeetleFly,0.0,0.73202
BirdChicken,0.001562,0.7095
Car,0.025428,1.27576
CBF,0.013542,0.38955
ChlorineConcentration,0.0,4.06881
CinCECGTorso,0.00544,5.96119
Coffee,0.003,0.22004
Computers,0.014844,7.194
CricketX,0.007115,2.7467
CricketY,0.007482,2.64405
CricketZ,0.031285,2.01628
DiatomSizeReduction,0.003094,0.55783
DistalPhalanxOutlineAgeGroup,0.002797,0.32684
DistalPhalanxTW,0.021318,1.38901
Earthquakes,0.03717,6.63979
ECG200,0.009167,0.66171
ECG5000,0.000488,0.5382
ECGFiveDays,0.003836,0.16316
ElectricDevices,0.016302,22.03508
FaceAll,0.003162,18.3104
FaceFour,0.008095,8.97622
FacesUCR,0.00725,9.91432
FiftyWords,0.005774,4.43959
Fish,0.01047,15.42107
GunPoint,0.003733,0.47798
Haptics,0.175187,4.8286
InlineSkate,0.096453,3.27518
InsectWingbeatSound,0.010156,0.76321
ItalyPowerDemand,0.000622,0.39105
LargeKitchenAppliances,0.022641,7.60877
Lightning2,0.0067,0.26642
Lightning7,0.065912,7.10102
Mallat,0.002016,3.01157
Meat,0.00119,1.9298
MedicalImages,0.004446,0.69895
MoteStrain,0.001786,0.39659
NonInvasiveFetalECGThorax1,0.002818,19.43
NonInvasiveFetalECGThorax2,0.002197,24.66597
OliveOil,0.004453,5.75355
OSULeaf,0.002404,1.01344
Plane,0.004233,3.6002
ProximalPhalanxOutlineAgeGroup,0.0625,2.41056
ProximalPhalanxTW,0.00925,3.75147
ShapesAll,0.011406,7.58458
SonyAIBORobotSurface1,0.001429,0.32733
SonyAIBORobotSurface2,0.006838,0.44401
StarLightCurves,0.004689,1.78003
SwedishLeaf,0.005055,3.61992
Symbols,0.012705,1.15468
SyntheticControl,0.005067,3.05876
ToeSegmentation1,0.0,0.81053
ToeSegmentation2,0.004861,0.94144
Trace,0.009831,3.33059
TwoLeadECG,0.002123,0.09086
TwoPatterns,0.0055,9.19731
UWaveGestureLibraryAll,0.003901,10.09209
UWaveGestureLibraryX,0.006742,2.09765
UWaveGestureLibraryY,0.019163,2.09315
UWaveGestureLibraryZ,0.074166,2.11173
Wafer,0.004212,0.26648
WordSynonyms,0.002505,1.30097
Worms,0.015372,0.53798
Yoga,0.002692,13.89845
