name,score,runtime
Cane,0.015543,34.15099
DutchFactory,0.003653,18.00537
EEGRat,0.002,12.91907
EEGRat2,0.1355,14.49378
Fetal2013,0.002667,34.17995
GrandMalSeizures,0.001519,30.57889
GrandMalSeizures2,0.000671,22.06255
GreatBarbet1,0.009574,18.35361
GreatBarbet2,0.008723,17.86047
InsectEPG1,0.011764,29.86132
InsectEPG2,0.013099,22.79784
InsectEPG3,0.009427,20.81872
InsectEPG4,0.036682,29.82318
NogunGun,0.005012,20.37412
PigInternalBleedingDatasetAirwayPressure,0.057637,32.16993
PigInternalBleedingDatasetArtPressureFluidFilled,0.002805,29.27532
PigInternalBleedingDatasetCVP,0.006545,28.73636
Powerdemand,0.001041,18.97779
PulsusParadoxusECG1,0.000228,30.60606
PulsusParadoxusECG2,0.001199,29.6036
PulsusParadoxusSP02,0.001256,35.71922
RoboticDogActivityX,0.00252,26.15158
RoboticDogActivityY,0.002177,27.37403
RoboticDogActivityZ,0.005636,23.72416
SimpleSynthetic,0.023747,22.53396
SuddenCardiacDeath1,0.017083,25.05447
SuddenCardiacDeath2,0.000833,23.82167
SuddenCardiacDeath3,0.00175,23.1647
TiltABP,0.00235,88.1286
TiltECG,0.009775,72.00605
WalkJogRun1,0.046695,23.19281
WalkJogRun2,0.030897,21.38825
Adiac,0.014915,16.82954
ArrowHead,0.002656,18.64575
Beef,0.033333,18.06463
BeetleFly,0.016406,15.87615
BirdChicken,0.399609,15.05957
Car,0.050393,16.14663
CBF,0.03125,15.04707
ChlorineConcentration,0.000128,19.44729
CinCECGTorso,0.013251,19.25316
Coffee,0.006,16.27529
Computers,0.473333,23.12221
CricketX,0.022316,17.28961
CricketY,0.045543,17.03966
CricketZ,0.041222,17.17405
DiatomSizeReduction,0.018561,16.88746
DistalPhalanxOutlineAgeGroup,0.033566,17.22728
DistalPhalanxTW,0.026357,16.12226
Earthquakes,0.172069,23.11414
ECG200,0.01625,18.17197
ECG5000,0.002438,14.4285
ECGFiveDays,0.015345,15.52279
ElectricDevices,0.019684,22.78987
FaceAll,0.040349,25.26316
FaceFour,0.042262,24.16423
FacesUCR,0.064631,23.35845
FiftyWords,0.020978,20.50626
Fish,0.048894,22.97264
GunPoint,0.005867,18.54302
Haptics,0.347819,18.65575
InlineSkate,0.045011,16.22022
InsectWingbeatSound,0.057812,14.01463
ItalyPowerDemand,0.012438,14.62319
LargeKitchenAppliances,0.040541,22.12863
Lightning2,0.190955,15.92642
Lightning7,0.061783,20.17223
Mallat,0.028226,18.64492
Meat,0.004762,17.76993
MedicalImages,0.004042,16.74318
MoteStrain,0.039881,17.29862
NonInvasiveFetalECGThorax1,0.050886,26.74747
NonInvasiveFetalECGThorax2,0.04317,26.26032
OliveOil,0.035628,20.17097
OSULeaf,0.028846,17.06451
Plane,0.02037,17.65206
ProximalPhalanxOutlineAgeGroup,0.10625,17.49925
ProximalPhalanxTW,0.02575,15.26005
ShapesAll,0.011094,14.83648
SonyAIBORobotSurface1,0.013571,11.13149
SonyAIBORobotSurface2,0.007407,12.30302
StarLightCurves,0.01563,14.53865
SwedishLeaf,0.025276,16.19203
Symbols,0.083113,14.87244
SyntheticControl,0.026933,16.68835
ToeSegmentation1,0.003249,15.48054
ToeSegmentation2,0.005185,16.26665
Trace,0.049155,18.42206
TwoLeadECG,0.343949,14.90485
TwoPatterns,0.01025,22.01607
UWaveGestureLibraryAll,0.013713,21.84854
UWaveGestureLibraryX,0.085522,17.20875
UWaveGestureLibraryY,0.068488,16.2167
UWaveGestureLibraryZ,0.040454,16.32693
Wafer,0.012637,14.58574
WordSynonyms,0.027557,16.57829
Worms,0.040453,15.28517
Yoga,0.004382,28.25654
