name,score,runtime
Cane,0.222846,0.17801
DutchFactory,0.225317,0.29399
EEGRat,0.0675,0.06743
EEGRat2,0.3075,0.06716
Fetal2013,0.363056,0.6058
GrandMalSeizures,0.407715,0.62176
GrandMalSeizures2,0.21662,0.35425
GreatBarbet1,0.640426,0.16446
GreatBarbet2,0.740426,0.1627
InsectEPG1,0.074819,0.57848
InsectEPG2,0.557444,0.33656
InsectEPG3,0.002143,0.23693
InsectEPG4,0.36156,0.64319
NogunGun,0.111743,0.2562
PigInternalBleedingDatasetAirwayPressure,0.32986,0.53462
PigInternalBleedingDatasetArtPressureFluidFilled,0.097442,0.50714
PigInternalBleedingDatasetCVP,0.001603,0.50411
Powerdemand,0.050768,0.25917
PulsusParadoxusECG1,0.044803,0.59342
PulsusParadoxusECG2,0.024827,0.59354
PulsusParadoxusSP02,0.41065,0.59102
RoboticDogActivityX,0.229073,0.42736
RoboticDogActivityY,0.197905,0.49638
RoboticDogActivityZ,0.166818,0.3712
SimpleSynthetic,0.309961,0.26876
SuddenCardiacDeath1,0.063333,0.4059
SuddenCardiacDeath2,0.075827,0.40481
SuddenCardiacDeath3,0.219148,0.40573
TiltABP,0.0015,1.37212
TiltECG,0.21975,1.37248
WalkJogRun1,0.625437,0.33568
WalkJogRun2,0.266473,0.33699
Adiac,0.190341,0.04837
ArrowHead,0.045153,0.05127
Beef,0.148936,0.04666
BeetleFly,0.478516,0.08593
BirdChicken,0.039062,0.08632
Car,0.176144,0.07267
CBF,0.15625,0.03244
ChlorineConcentration,0.153826,0.26468
CinCECGTorso,0.458223,0.24101
Coffee,0.245,0.03362
Computers,0.085778,0.37604
CricketX,0.126132,0.10489
CricketY,0.214704,0.10402
CricketZ,0.334928,0.09252
DiatomSizeReduction,0.385924,0.04369
DistalPhalanxOutlineAgeGroup,0.660839,0.04728
DistalPhalanxTW,0.286822,0.08712
Earthquakes,0.015237,0.34664
ECG200,0.145417,0.08085
ECG5000,0.306192,0.06914
ECGFiveDays,0.152174,0.0262
ElectricDevices,0.801075,0.38854
FaceAll,0.161941,0.30979
FaceFour,0.424405,0.28187
FacesUCR,0.464754,0.21862
FiftyWords,0.224211,0.17432
Fish,0.173548,0.34084
GunPoint,0.104,0.06317
Haptics,0.358044,0.19802
InlineSkate,0.506119,0.16188
InsectWingbeatSound,0.246094,0.04353
ItalyPowerDemand,0.139303,0.05433
LargeKitchenAppliances,0.206259,0.282
Lightning2,0.09464,0.04005
Lightning7,0.343019,0.22056
Mallat,0.151966,0.1341
Meat,0.416667,0.11351
MedicalImages,0.47979,0.08314
MoteStrain,0.133929,0.05558
NonInvasiveFetalECGThorax1,0.153543,0.41886
NonInvasiveFetalECGThorax2,0.256752,0.47436
OliveOil,0.192308,0.24926
OSULeaf,0.173558,0.07022
Plane,0.236508,0.12882
ProximalPhalanxOutlineAgeGroup,0.4125,0.13441
ProximalPhalanxTW,0.095,0.13491
ShapesAll,0.114062,0.21696
SonyAIBORobotSurface1,0.003571,0.0467
SonyAIBORobotSurface2,0.207977,0.05937
StarLightCurves,0.210378,0.10788
SwedishLeaf,0.180836,0.14698
Symbols,0.526204,0.06417
SyntheticControl,0.436,0.12697
ToeSegmentation1,0.33213,0.0927
ToeSegmentation2,0.277706,0.10357
Trace,0.229453,0.17
TwoLeadECG,0.235669,0.01616
TwoPatterns,0.2385,0.27152
UWaveGestureLibraryAll,0.357253,0.28483
UWaveGestureLibraryX,0.46274,0.09592
UWaveGestureLibraryY,0.234564,0.09599
UWaveGestureLibraryZ,0.259404,0.09569
Wafer,0.547599,0.03965
WordSynonyms,0.540292,0.08094
Worms,0.317961,0.04205
Yoga,0.088894,0.53805
